Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CityRun,,,,2022-07-18 18:04:41,2022-07-18 18:05:50,1m - 8.693s,FAILED
,,,,,,,
Test Cases/Admin/TS2_City/TC_Get All City,,,,2022-07-18 18:04:42,2022-07-18 18:04:50,7.991s,PASSED
"for ([i = 0, i < 2, (i++)])",,,,2022-07-18 18:04:42,2022-07-18 18:04:50,7.605s,PASSED
,,,,,,,
Test Cases/Admin/TS2_City/TC_Get One City,,,,2022-07-18 18:04:50,2022-07-18 18:04:57,7.499s,FAILED
"for ([i = 0, i < 4, (i++)])",,,,2022-07-18 18:04:50,2022-07-18 18:04:57,7.155s,FAILED
,,,,,,,
Test Cases/Admin/TS2_City/TC_Create One,,,,2022-07-18 18:04:57,2022-07-18 18:05:26,28.557s,PASSED
"for ([i = 0, i < 8, (i++)])",,,,2022-07-18 18:04:58,2022-07-18 18:05:26,28.062s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-07-18 18:05:26,2022-07-18 18:05:26,0.000s,PASSED
result = slurper.parseText(rslt.getResponseBodyContent()),,,,2022-07-18 18:05:26,2022-07-18 18:05:26,0.001s,PASSED
value = id,,,,2022-07-18 18:05:26,2022-07-18 18:05:26,0.000s,PASSED
admin_CreateID = value,,,,2022-07-18 18:05:26,2022-07-18 18:05:26,0.001s,PASSED
println(admin_CreateID),,,,2022-07-18 18:05:26,2022-07-18 18:05:26,0.000s,PASSED
,,,,,,,
Test Cases/Admin/TS2_City/TC_Update City,,,,2022-07-18 18:05:26,2022-07-18 18:05:44,18.089s,FAILED
dump = admin_CreateID,,,,2022-07-18 18:05:26,2022-07-18 18:05:26,0.000s,PASSED
"for ([i = 0, i < 9, (i++)])",,,,2022-07-18 18:05:26,2022-07-18 18:05:44,17.754s,FAILED
admin_CreateID = dump,,,,2022-07-18 18:05:44,2022-07-18 18:05:44,0.000s,PASSED
println(admin_CreateID),,,,2022-07-18 18:05:44,2022-07-18 18:05:44,0.001s,PASSED
,,,,,,,
Test Cases/Admin/TS2_City/TC_Delete,,,,2022-07-18 18:05:44,2022-07-18 18:05:50,6.257s,PASSED
dump = admin_CreateID,,,,2022-07-18 18:05:44,2022-07-18 18:05:44,0.001s,PASSED
"for ([i = 0, i < 3, (i++)])",,,,2022-07-18 18:05:44,2022-07-18 18:05:50,6.003s,PASSED
